,Longitude,Latitude,red,blue,green,nir08
0,-73.995,40.771,0.16052500000000003,0.115645,0.14850750000000001,0.2020225
1,-73.995,40.772,0.14091749999999997,0.10577249999999999,0.13035750000000002,0.16165249999999998
2,-73.994,40.771,0.14347500000000002,0.10604750000000002,0.13035750000000002,0.1920675
3,-73.994,40.772,0.14091749999999997,0.10577249999999999,0.13035750000000002,0.15497
4,-73.994,40.773,0.13594,0.10842625,0.1289825,0.1526325
5,-73.993,40.771,0.12241000000000002,0.0987325,0.11237249999999999,0.1460325
6,-73.993,40.773,0.0753025,0.06947249999999999,0.07552249999999999,0.156125
7,-73.993,40.774,0.08828249999999999,0.0685925,0.08478999999999998,0.16860999999999998
8,-73.993,40.775,0.07876749999999999,0.06314750000000002,0.08052749999999997,0.1142975
9,-73.992,40.77,0.1471325,0.10486499999999999,0.1289825,0.18450500000000003
10,-73.992,40.771,0.13594,0.10296749999999999,0.12689250000000002,0.17257
11,-73.992,40.774,0.07277250000000002,0.073515,0.07681500000000002,0.12323499999999998
12,-73.992,40.775,0.0804725,0.06873000000000001,0.08671499999999999,0.12571
13,-73.992,40.776,0.07582499999999998,0.0630925,0.08096750000000003,0.20876
14,-73.991,40.77,0.134785,0.10225250000000002,0.11987999999999999,0.17116750000000003
15,-73.991,40.776,0.09392,0.0692525,0.10016249999999999,0.16157
16,-73.99,40.769,0.10788999999999999,0.08283750000000001,0.09815499999999999,0.1333275
17,-73.99,40.77,0.11306,0.08324999999999999,0.10090500000000002,0.1333275
18,-73.989,40.769,0.16201,0.12346874999999999,0.144685,0.17430250000000003
19,-73.989,40.77,0.181535,0.13486749999999997,0.16635499999999998,0.20590000000000003
20,-73.988,40.769,0.09342500000000001,0.0810775,0.08902499999999999,0.11825750000000002
21,-73.988,40.77,0.11306,0.09298499999999998,0.10637750000000001,0.14903
22,-73.988,40.771,0.1044525,0.08028000000000002,0.08993250000000003,0.1446575
23,-73.988,40.78,0.09196750000000001,0.07153499999999999,0.08584875,0.1197425
24,-73.988,40.781,0.08489999999999998,0.07029750000000001,0.07824500000000001,0.10549750000000002
25,-73.987,40.77,0.10104249999999998,0.08536749999999999,0.09271000000000001,0.133575
26,-73.987,40.771,0.09812749999999998,0.07186500000000001,0.08993250000000003,0.1446575
27,-73.987,40.772,0.100465,0.07286875000000001,0.09422249999999999,0.17235
28,-73.987,40.781,0.08635749999999998,0.0650175,0.08300249999999998,0.1463625
29,-73.987,40.782,0.059709999999999985,0.05214750000000001,0.06036999999999998,0.1865675
30,-73.986,40.772,0.06213000000000002,0.056520000000000015,0.060809999999999975,0.09644999999999998
31,-73.986,40.773,0.10280250000000002,0.07992250000000001,0.09620250000000002,0.1784825
32,-73.986,40.78,0.10282999999999998,0.07703500000000002,0.0961475,0.15497
33,-73.986,40.781,0.053027500000000005,0.045355000000000006,0.05382500000000001,0.15953499999999998
34,-73.986,40.782,0.05371500000000001,0.04441999999999999,0.061277499999999985,0.2208325
35,-73.986,40.783,0.042811249999999995,0.03956625,0.0534675,0.25639
36,-73.986,40.784,0.03226499999999999,0.03372249999999999,0.046262499999999984,0.265355
37,-73.985,40.773,0.08253500000000003,0.0710675,0.0839375,0.13
38,-73.985,40.774,0.08984999999999999,0.07164500000000001,0.08825499999999997,0.13519750000000003
39,-73.985,40.775,0.04663375,0.04851749999999999,0.05104750000000002,0.052037500000000014
40,-73.985,40.78,0.09017999999999998,0.07180999999999998,0.084515,0.11636000000000002
41,-73.985,40.781,0.06185499999999999,0.049754999999999994,0.06094749999999999,0.14608749999999998
42,-73.985,40.782,0.072525,0.06386249999999999,0.073515,0.15354
43,-73.985,40.783,0.06072749999999999,0.05019499999999999,0.06014999999999998,0.14864500000000003
44,-73.985,40.784,0.04997499999999999,0.04268749999999999,0.05566749999999998,0.23098000000000002
45,-73.985,40.785,0.048545000000000005,0.0418075,0.05608000000000002,0.254025
46,-73.985,40.786,0.11069499999999999,0.08569749999999998,0.10599249999999999,0.20581750000000001
47,-73.984,40.774,0.046564999999999995,0.04851749999999999,0.05104750000000002,0.05137750000000002
48,-73.984,40.775,0.08634375000000002,0.0687025,0.08209499999999997,0.13
49,-73.984,40.776,0.0761,0.05910500000000002,0.07456000000000002,0.1168825
50,-73.984,40.78,0.0962575,0.06864749999999997,0.08666000000000001,0.13778249999999997
51,-73.984,40.781,0.08095374999999999,0.060755,0.07413375,0.15497
52,-73.984,40.783,0.06908750000000002,0.05852750000000001,0.07010499999999997,0.15579500000000002
53,-73.984,40.784,0.05734499999999998,0.04716999999999999,0.06083749999999999,0.13992749999999998
54,-73.984,40.785,0.05588749999999998,0.04950750000000001,0.06553999999999999,0.21533249999999998
55,-73.984,40.786,0.08605499999999999,0.06520999999999999,0.08256249999999998,0.2203925
56,-73.983,40.768,0.11552125000000002,0.09242124999999998,0.11068124999999998,0.2082375
