,Longitude,Latitude,datetime,UHI Index,lwir11
0,-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,37.09167548000005
1,-73.90918667,40.813045,24-07-2021 15:53,1.030288903,37.09167548000005
2,-73.909215,40.81297833,24-07-2021 15:53,1.023797758,37.09167548000005
3,-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,37.09167548000005
4,-73.90925667,40.812845,24-07-2021 15:53,1.021634043,36.760127539999985
5,-73.90928,40.81277667,24-07-2021 15:53,1.021634043,36.760127539999985
6,-73.90931167,40.81271,24-07-2021 15:53,1.015142899,36.760127539999985
7,-73.90934,40.81264333,24-07-2021 15:53,1.015142899,36.760127539999985
8,-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,36.91052042000001
9,-73.90938333,40.812485,24-07-2021 15:53,1.012979184,36.91052042000001
10,-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,36.91052042000001
11,-73.90942,40.81233,24-07-2021 15:53,1.010815469,36.91052042000001
12,-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,36.99597091999999
13,-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,36.99597091999999
14,-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,36.99597091999999
15,-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,36.28502276000006
16,-73.90953,40.81198167,24-07-2021 15:53,1.010815469,36.28502276000006
17,-73.90954833,40.81194,24-07-2021 15:54,1.010815469,36.28502276000006
18,-73.90956333,40.8119,24-07-2021 15:54,1.010815469,36.28502276000006
19,-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,36.28502276000006
20,-73.9096,40.81181167,24-07-2021 15:54,1.012979184,36.28502276000006
21,-73.909615,40.81175333,24-07-2021 15:54,1.012979184,36.64733288000002
22,-73.90963167,40.8117,24-07-2021 15:54,1.012979184,36.64733288000002
23,-73.90964667,40.81164333,24-07-2021 15:54,1.012979184,36.64733288000002
24,-73.90966167,40.81157833,24-07-2021 15:54,1.012979184,36.64733288000002
25,-73.909675,40.81151,24-07-2021 15:54,1.012979184,37.12243766000006
26,-73.90969333,40.81144167,24-07-2021 15:54,1.012979184,37.12243766000006
27,-73.909705,40.81137667,24-07-2021 15:54,1.012979184,37.12243766000006
28,-73.90971333,40.81132,24-07-2021 15:54,1.012979184,37.12243766000006
